,0
ElectronMax_1_std1h_lag144,22.0
ProtonMean_2_std1h,22.0
ElectronStd_7_std1h_lag72,22.0
VBz_std1h_lag12,22.0
ElectronStd_1_lag72,22.0
ElectronMean_7_lag144,22.0
ElectronMean_3_std1h_lag36,22.0
ProtonStd_0_std1h_lag6,22.0
ProtonStd_1_std1h_lag144,22.0
ProtonMax_2_std1h_lag144,22.0
ElectronMean_4_std1h_lag144,22.0
ElectronMean_5_lag144,22.0
ElectronStd_1_std1h_lag6,22.0
BY_GSE_std1h_lag144,22.0
ElectronMean_0_mean1h_lag72,22.0
ElectronStd_7_std1h_lag36,22.0
ElectronMax_7,22.0
ElectronMax_0_lag144,22.0
ElectronMax_7_lag6,22.0
proton_density_std1h_lag72,21.0
ElectronStd_4_std1h_lag36,21.0
ElectronMean_1_std1h_lag6,21.0
ElectronStd_5_lag144,21.0
ElectronMean_7_lag36,21.0
ProtonStd_2,21.0
ElectronMean_2_mean1h_lag72,21.0
ProtonMax_1_std1h_lag12,21.0
ElectronStd_0_mean1h_lag12,21.0
ElectronMax_3_mean1h_lag72,21.0
VBz_lag12,21.0
ProtonStd_1_std1h_lag72,21.0
ElectronMean_8_mean1h_lag6,21.0
ProtonMean_7_std1h_lag72,21.0
ElectronMax_7_std1h_lag6,21.0
ElectronStd_8_lag144,21.0
ElectronStd_4_std1h_lag72,21.0
ElectronMax_5_std1h_lag72,21.0
ProtonStd_5_mean1h_lag72,21.0
ElectronMean_6_std1h_lag12,21.0
ElectronStd_6_std1h_lag6,21.0
ElectronStd_6_mean1h_lag144,21.0
ProtonMean_0_mean1h_lag72,21.0
proton_density_mean1h_lag72,21.0
ElectronStd_6_lag144,21.0
ElectronMax_7_std1h_lag72,21.0
ElectronMean_7_mean1h_lag72,21.0
ElectronStd_8_mean1h_lag144,21.0
ElectronMean_0_std1h_lag12,21.0
ElectronMax_0_std1h_lag6,21.0
ProtonStd_1_lag144,21.0
Dynamic_Pressure_mean1h_lag72,21.0
ElectronStd_2_std1h_lag12,21.0
ProtonMean_1_mean1h_lag144,21.0
BY_GSE_mean1h_lag6,21.0
ProtonStd_5,21.0
ProtonStd_0_lag144,21.0
ElectronStd_0_mean1h_lag36,20.0
ProtonMean_10_std1h_lag12,20.0
ProtonStd_6_mean1h_lag72,20.0
ProtonMax_0_std1h,20.0
ElectronMean_1_mean1h_lag36,20.0
ElectronMean_0_mean1h,20.0
ElectronStd_7_mean1h_lag12,20.0
ProtonMax_7_std1h,20.0
ProtonMean_2_std1h_lag144,20.0
ProtonMean_0_std1h_lag12,20.0
ElectronStd_7_lag12,20.0
ProtonMax_5_std1h,20.0
ProtonMax_1_std1h_lag144,20.0
ElectronStd_3_std1h_lag36,20.0
ElectronMean_1_std1h_lag72,20.0
ProtonStd_0_std1h_lag12,20.0
